,hydrogen_cost_(£/kWh),hydrogen_subsidy_(£/kWh),hydrogen_cost+subsidy_(£/kWh),electrolysis_capacity(hydrogen)_(kW),osw_capacity_(kW),battery_capactiy_(kW),osw_elec_produced_(kWh),osw_elec_consumed_by_electrolyser_(kWh),osw_elec_exported_to_grid_(kWh),green_hydrogen_prod_(kWh),alt_hydrogen_prod_(kWh),electrolysis_cost_(£),battery_cost_(£),osw_cost_(£),electrolysis_capfactor,osw_capfactor,total_system_cost_(£),LCOE(hydrogen)_(£/kWh),LCOE(hydrogen)+subsidy_(£/kWh),LCOE(osw_elec)_(£/kWh),LCOE(system)_(£/kWh)
19,0.057,0.19,0.248,676185.4,1000000.0,0.0,455063091.75,443674969.40409994,11544.889159999999,310572478.6792,433427521.32,3342383.2,0.0,23582647.0,0.617339752170025,0.6116439405241936,26925030.2,0.0107620070336382,0.2007620070336382,0.05182280749095711,0.0866916137238906
20,0.057,0.2,0.258,676281.48,1000000.0,0.0,455063091.9100001,443678826.7241,7687.61759,310575178.7392,433424821.26,3342858.2,0.0,23582647.0,0.6172574123571926,0.6116439407392474,26925505.2,0.010763442891896735,0.21076344289189675,0.05182280747273622,0.08669346611370582
21,0.057,0.21,0.268,676282.95,1000000.0,0.0,455063091.9100001,443678883.4241,7631.01884,310575218.42920005,433424781.56999993,3342865.4,0.0,23582647.0,0.6172561495401692,0.6116439407392474,26925512.4,0.010763464699170944,0.22076346469917094,0.05182280747273622,0.08669349401569125
22,0.057,0.22,0.278,676363.78,1000000.0,0.0,455063091.9100001,443681880.6041,4633.852325000001,310577316.4792,433422683.52,3343265.0,0.0,23582647.0,0.6171865525920742,0.6116439407392474,26925912.0,0.010764678624634537,0.23076467862463454,0.05182280747273622,0.08669503160521218
23,0.057,0.23,0.28800000000000003,676378.51,1000000.0,0.0,455063091.9100001,443682385.5641,4128.669675,310577669.9992,433422330.0,3343337.8,0.0,23582647.0,0.6171738141675057,0.6116439407392474,26925984.8,0.010764900773479986,0.24076490077348,0.05182280747273622,0.08669530833874456
24,0.057,0.24,0.298,676378.97,1000000.0,0.0,455063091.9100001,443682400.51409996,4113.71222,310577680.5792,433422319.42,3343340.0,0.0,23582647.0,0.6171734154568179,0.6116439407392474,26925987.0,0.010764907490341757,0.25076490749034175,0.05182280747273622,0.0866953166441406
25,0.057,0.25,0.308,676412.02,1000000.0,0.0,455063091.9100001,443683439.57409996,3074.7600249999996,310578407.6792,433421592.32,3343503.4,0.0,23582647.0,0.6171447047067714,0.6116439407392474,26926150.4,0.010765408403579502,0.2607654084035795,0.05182280747273622,0.08669592980408593
26,0.057,0.26,0.318,676414.97,1000000.0,0.0,455063091.75,443683527.9741,2986.24658,310578469.62920004,433421530.37,3343518.0,0.0,23582647.0,0.6171421362971016,0.6116439405241936,26926165.0,0.010765453265295015,0.270765453265295,0.05182280749095711,0.08669598422762681
27,0.057,0.27,0.328,676416.68,1000000.0,0.0,455063091.75,443683576.9741,2937.3991,310578503.82919997,433421496.16999996,3343526.5,0.0,23582647.0,0.6171406441025103,0.6116439405241936,26926173.5,0.010765479448116422,0.2807654794481164,0.05182280749095711,0.08669601568436056
28,0.057,0.28,0.338,676416.68,1000000.0,0.0,455063091.9100001,443683576.9841,2937.3991,310578503.82919997,433421496.16999996,3343526.5,0.0,23582647.0,0.6171406441025103,0.6116439407392474,26926173.5,0.010765479448116422,0.2907654794481164,0.05182280747273622,0.08669601568436056
29,0.057,0.29,0.348,676418.76,1000000.0,0.0,455063091.75,443683633.4041,2880.916375,310578543.3492,433421456.65,3343536.8,0.0,23582647.0,0.6171388249124866,0.6116439405241936,26926183.8,0.010765511242161643,0.3007655112421616,0.05182280749095711,0.08669605358295897
30,0.057,0.3,0.358,676418.9,1000000.0,0.0,455063091.75,443683636.8241,2877.423935,310578545.8692,433421454.13,3343537.4,0.0,23582647.0,0.6171387021892174,0.6116439405241936,26926184.4,0.010765513086689925,0.3107655130866899,0.05182280749095711,0.08669605578626752
