,hydrogen_cost_(£/kWh),hydrogen_subsidy_(£/kWh),hydrogen_cost+subsidy_(£/kWh),electrolysis_capacity(hydrogen)_(kW),osw_capacity_(kW),battery_capactiy_(kW),osw_elec_produced_(kWh),osw_elec_consumed_by_electrolyser_(kWh),osw_elec_exported_to_grid_(kWh),green_hydrogen_prod_(kWh),alt_hydrogen_prod_(kWh),electrolysis_cost_(£),battery_cost_(£),osw_cost_(£),electrolysis_capfactor,osw_capfactor,total_system_cost_(£),LCOE(hydrogen)_(£/kWh),LCOE(hydrogen)+subsidy_(£/kWh),LCOE(osw_elec)_(£/kWh)
21,0.044,0.21,0.254,597948.72,943508.83,0.0,549132688.336,535404369.06700003,0,348012839.5604,395987160.46000004,11912107.0,0.0,21925501.0,0.7822730901698843,0.7822730926048524,33837608.0,0.09723091838434096,0.30723091838434097,0.039927510173250434
22,0.044,0.22,0.264,601034.65,948378.15,0.0,550197239.826,536442309.56700003,0,348687500.13040006,395312499.89,11973584.0,0.0,22038655.0,0.7797653509642494,0.7797653490023655,34012239.0,0.09754361423131115,0.31754361423131117,0.04005591705071027
23,0.044,0.23,0.274,603631.36,952475.52,0.0,551057293.436,537280860.6070001,0,349232559.49039996,394767440.53,12025315.0,0.0,22133871.0,0.7776246109307365,0.7776246104003953,34159186.0,0.09781214572273866,0.32781214572273865,0.040166188277790456
24,0.044,0.24,0.284,605760.74,955835.49,0.0,551743405.356,537949819.5869999,0,349667382.7304,394332617.28999996,12067736.0,0.0,22211950.0,0.7758558953561453,0.7758558939852445,34279686.0,0.09803512621716355,0.33803512621716353,0.04025775348536924
25,0.044,0.25,0.294,607965.25,959314.0,0.0,552425871.4159999,538615224.697,0,350099896.5404,393900103.47999996,12111653.0,0.0,22292785.0,0.7739988051462319,0.773998807156126,34404438.0,0.09827034609257554,0.34827034609257557,0.04035434644445281
26,0.044,0.26,0.304,609872.47,962323.42,0.0,552996281.4259999,539171375.337,0,350461393.7804,393538606.24,12149648.0,0.0,22362719.0,0.7723750187601136,0.7723750210808956,34512367.0,0.09847694385883068,0.35847694385883067,0.04043918512857578
27,0.044,0.27,0.314,610761.99,963727.01,0.0,553253574.796,539422234.477,0,350624452.50040007,393375547.52,12167368.0,0.0,22395336.0,0.7716089624433955,0.7716089603332615,34562704.0,0.09857471078677994,0.36857471078677995,0.0404793335646458
28,0.044,0.28,0.324,612058.21,965772.32,0.0,553615802.4260001,539775406.917,0,350854015.11039996,393145984.90999997,12193191.0,0.0,22442865.0,0.7704789668599082,0.7704789689201996,34636056.0,0.09871928069314355,0.3787192806931436,0.04053870012679029
29,0.044,0.29,0.33399999999999996,613062.47,967356.96,0.0,553889565.6759999,540042327.2969999,0,351027511.7204,392972488.3,12213198.0,0.0,22479689.0,0.7695972184811839,0.7695972153679398,34692887.0,0.09883238732476769,0.38883238732476766,0.04058514619708434
30,0.044,0.3,0.344,613321.0,967764.9,-1.392015e-10,553957444.9860001,540108507.507,0,351070529.7904,392929470.23,12218348.0,-2.3645187e-10,22489169.0,0.7693670877954015,0.7693670831774496,34707517.0,0.09886194953681092,0.3988619495368109,0.0405972863142373
