,hydrogen_cost_(£/kWh),hydrogen_subsidy_(£/kWh),hydrogen_cost+subsidy_(£/kWh),electrolysis_capacity(hydrogen)_(kW),electrolysis_capacity(elec)_(kW),osw_capacity_(kW),battery_capactiy_(kW),osw_elec_produced_(kWh),osw_elec_consumed_by_electrolyser_(kWh),osw_elec_exported_to_grid_(kWh),green_hydrogen_prod_(kWh),alt_hydrogen_prod_(kWh),electrolysis_cost_(£),battery_cost_(£),osw_cost_(£),electrolysis_capfactor,osw_capfactor,total_system_cost_(£),LCOE(hydrogen)_(£/kWh),LCOE(osw_elec)_(£/kWh),LCOE(system)_(£/kWh),LCOE(system)+subsidy_(£/kWh)
35,0.048,0.035,0.093,0.0,0.0,123502.71,0.0,510179831.33000004,-0.0,510179833.26000005,0.0,365000000.0,0.0,0.0,0.0,,0.4836576665746571,0.0,,0.0,,
36,0.048,0.036000000000000004,0.094,0.0,0.0,123502.71,0.0,510179831.33000004,-0.0,510179833.26000005,0.0,365000000.0,0.0,0.0,0.0,,0.4836576665746571,0.0,,0.0,,
37,0.048,0.037,0.095,0.0,0.0,123502.71,0.0,510179831.33000004,-0.0,510179833.26000005,0.0,365000000.0,0.0,0.0,0.0,,0.4836576665746571,0.0,,0.0,,
38,0.048,0.038,0.096,0.0,0.0,123502.71,0.0,510179831.33000004,-0.0,510179833.26000005,0.0,365000000.0,0.0,0.0,0.0,,0.4836576665746571,0.0,,0.0,,
39,0.048,0.039,0.097,0.0,0.0,123502.71,0.0,510179831.33000004,-0.0,510179833.26000005,0.0,365000000.0,0.0,0.0,0.0,,0.4836576665746571,0.0,,0.0,,
40,0.048,0.04,0.098,0.0,0.0,123502.71,0.0,510179831.33000004,-0.0,510179833.26000005,0.0,365000000.0,0.0,0.0,0.0,,0.4836576665746571,0.0,,0.0,,
41,0.048,0.041,0.099,0.0,0.0,123502.71,0.0,510179831.33000004,-0.0,510179833.26000005,0.0,365000000.0,0.0,0.0,0.0,,0.4836576665746571,0.0,,0.0,,
42,0.048,0.042,0.1,0.0,0.0,123502.71,0.0,510179831.33000004,-0.0,510179833.26000005,0.0,365000000.0,0.0,0.0,0.0,,0.4836576665746571,0.0,,0.0,,
43,0.048,0.043000000000000003,0.101,0.0,0.0,123502.71,0.0,510179831.33000004,-0.0,510179833.26000005,0.0,365000000.0,0.0,0.0,0.0,,0.4836576665746571,0.0,,0.0,,
44,0.048,0.044,0.10200000000000001,0.0,0.0,123502.71,0.0,510179831.33000004,-0.0,510179833.26000005,0.0,365000000.0,0.0,0.0,0.0,,0.4836576665746571,0.0,,0.0,,
